"","wordsum","wrkstat","age","pres08","authoritarianism","income","con_govt","conarmy","degree"
"1",7,"WORKING PART TIME",22,NA,NA,174479.843849631,NA,NA,"Bachelor deg"
"2",NA,"WORKING PART TIME",21,NA,4,174642.280439671,4,"A GREAT DEAL","HS"
"3",NA,"WORKING FULL TIME",42,"Obama",4,120619.572972108,2,"A GREAT DEAL","HS"
"4",9,NA,49,"McCain",4,139309.408722808,1,"A GREAT DEAL","HS"
"5",6,"RETIRED",70,"Obama",1,54490.3758318514,4,"A GREAT DEAL","Bachelor deg"
"6",8,NA,50,"Obama",NA,28028.190296183,NA,NA,"Bachelor deg"
"7",6,"KEEPING HOUSE",35,NA,2,32960.4508267573,2,"A GREAT DEAL","Junior Coll"
"8",NA,"KEEPING HOUSE",24,NA,6,5697.86819855803,3,"ONLY SOME","<HS"
"9",3,"KEEPING HOUSE",28,"Obama",NA,407.928150540587,NA,NA,"<HS"
"10",NA,"WORKING FULL TIME",28,"Obama",1,33437.402259539,4,"A GREAT DEAL","Bachelor deg"
"11",2,NA,55,"McCain",NA,472.709901667828,NA,NA,"<HS"
"12",6,"WORKING PART TIME",36,NA,1,54055.3743675503,NA,"A GREAT DEAL","Bachelor deg"
"13",NA,"KEEPING HOUSE",28,NA,4,9852.11842888951,1,"ONLY SOME","HS"
"14",4,NA,59,"Obama",NA,23520.056458576,NA,NA,"HS"
"15",2,"WORKING PART TIME",52,NA,3,NA,4,"A GREAT DEAL","<HS"
"16",NA,"WORKING FULL TIME",35,"Obama",2,53965.9385442333,1,"ONLY SOME","HS"
"17",2,"WORKING FULL TIME",36,NA,0,54017.3063621292,NA,"ONLY SOME","HS"
"18",5,"WORKING FULL TIME",47,"Obama",3,49992.8610447774,3,"ONLY SOME","HS"
"19",NA,"WORKING FULL TIME",55,NA,3,74997.3769412843,3,"ONLY SOME","HS"
"20",5,"SCHOOL",18,NA,NA,23897.6181827151,NA,NA,"HS"
"21",NA,"UNEMPLOYED, LAID OFF",76,"Obama",5,NA,1,"HARDLY ANY","<HS"
"22",NA,"WORKING FULL TIME",39,"Obama",7,49997.8260088923,4,"A GREAT DEAL","<HS"
"23",7,"WORKING FULL TIME",54,NA,2,NA,2,"ONLY SOME","Junior Coll"
"24",3,"WORKING FULL TIME",45,NA,5,139430.709413488,3,"ONLY SOME","Junior Coll"
"25",7,"RETIRED",71,"McCain",6,119087.364776719,1,"A GREAT DEAL","HS"
"26",NA,"WORKING FULL TIME",42,"McCain",2,NA,4,"A GREAT DEAL","Bachelor deg"
"27",5,"WORKING FULL TIME",22,"McCain",NA,174351.068558385,NA,NA,"HS"
"28",0,"KEEPING HOUSE",50,NA,NA,NA,NA,NA,"<HS"
"29",9,"RETIRED",81,"Obama",1,49999.4371555105,2,"ONLY SOME","Bachelor deg"
"30",5,"WORKING PART TIME",44,"McCain",NA,9306.11969230263,NA,NA,"HS"
"31",NA,"RETIRED",78,NA,2,81812.7531543523,4,"A GREAT DEAL","Bachelor deg"
